team,pitcher_score,ace_pitcher_score,ace_name,era_minus,fip_minus
PHI,1.6553129867629977,1.9380531930400116,Zack Wheeler,63,72
TEX,1.6117662317739139,2.456936151952996,Nathan Eovaldi,43,66
LAD,1.4677315110005817,1.5412814573580362,Emmet Sheehan,67,69
CIN,1.3073271718660455,1.704139583258269,Hunter Greene,62,76
DET,1.2576437502183706,2.6646871418668567,Tarik Skubal,54,58
PIT,1.0908011825458355,2.3065728961662066,Paul Skenes,46,58
ATL,1.0727920095982684,1.8344424468279026,Chris Sale,61,67
SEA,1.0578525283115865,1.3738049133929608,Bryan Woo,77,86
MIL,1.05611271453973,1.653176697142664,Brandon Woodruff,77,77
KCR,0.9700593387522148,1.280727585731375,Kris Bubic,61,69
NYY,0.8731970765410909,1.2725739379337238,Max Fried,71,72
BOS,0.7600999794440645,1.9165768574341182,Garrett Crochet,61,68
MIA,0.7137395784181214,1.2173604574653611,Janson Junk,98,76
MIN,0.6865154761222348,1.2486216968491717,Pablo Lopez,66,76
CHC,0.6626929856983161,0.8981418741271538,Cade Horton,65,88
TOR,0.6354088063227253,0.899708241588456,Kevin Gausman,88,80
SFG,0.5510572501613333,1.4380406924946514,Logan Webb,78,66
- - -,0.46337208509891387,0.6078746448496746,Merrill Kelly,84,93
BAL,0.4607682867104148,1.8490988503207113,Trevor Rogers,45,67
SDP,0.436128902199022,1.0996071551933588,Nick Pivetta,71,85
HOU,0.3240824648347423,1.3988769666506826,Hunter Brown,60,75
ARI,0.3065808300427658,0.6190669662987123,Ryne Nelson,80,94
TBR,0.22108865011812373,0.9654028657460074,Drew Rasmussen,67,90
STL,0.20587218476988123,0.7849273870349046,Sonny Gray,104,84
NYM,0.18024166198212618,0.2811868386468682,Tylor Megill,97,84
CLE,0.16412375746752103,0.5437391521301086,Joey Cantillo,79,86
CHW,0.009974644452072967,0.179304004364055,Shane Smith,93,95
ATH,-0.07772845671791558,0.08898049905163471,Jacob Lopez,97,100
LAA,-0.2138747876556214,-0.06503146152355216,Jose Soriano,103,88
WSN,-0.2584130618184977,0.17671985421390254,MacKenzie Gore,99,90
COL,-0.7322338361506119,0.014965854081754095,Kyle Freeland,104,96
