season,team,team_name,woba,wrc_plus,ops,bb_pct,k_pct,iso,era_minus,fip_minus,xfip,whip,k_per_9,bb_per_9,hr_per_9,era,fip
2025,ARI,ARI,0.327,109,0.757,0.08800000000000001,0.212,0.182,106,107,4.22,1.32,8.03,3.12,1.22,4.49,4.27
2025,ATH,ATH,0.324,105,0.749,0.08199999999999999,0.22899999999999998,0.178,112,110,4.58,1.36,8.28,3.57,1.39,4.71,4.66
2025,ATL,ATL,0.315,101,0.72,0.09300000000000001,0.222,0.155,103,103,4.05,1.31,8.86,3.32,1.23,4.36,4.2
2025,BAL,BAL,0.305,96,0.699,0.08,0.242,0.159,114,106,4.19,1.37,8.49,3.29,1.36,4.62,4.41
2025,BOS,BOS,0.323,103,0.745,0.083,0.22899999999999998,0.167,87,95,4.06,1.29,8.46,3.29,1.02,3.72,3.98
2025,CHC,CHC,0.325,110,0.751,0.09,0.207,0.181,92,102,4.16,1.18,7.93,2.54,1.27,3.81,4.16
2025,CHW,CHW,0.296,88,0.675,0.083,0.228,0.141,104,104,4.58,1.36,8.17,3.78,1.2,4.28,4.47
2025,CIN,CIN,0.309,92,0.706,0.087,0.233,0.146,88,94,4.17,1.22,8.66,3.1,1.19,3.86,4.11
2025,CLE,CLE,0.292,87,0.67,0.083,0.226,0.147,91,96,4.13,1.26,8.62,3.29,1.05,3.7,3.95
2025,COL,COL,0.296,74,0.679,0.067,0.259,0.149,125,120,4.85,1.58,6.99,3.54,1.61,5.99,5.24
2025,DET,DET,0.317,103,0.73,0.084,0.239,0.167,97,97,3.97,1.25,8.62,3.04,1.17,3.97,4.05
2025,HOU,HOU,0.312,100,0.714,0.077,0.214,0.149,95,97,3.91,1.22,9.39,3.17,1.24,3.86,4.02
2025,KCR,KCR,0.307,93,0.706,0.07200000000000001,0.182,0.15,88,96,4.17,1.24,7.96,2.99,1.07,3.73,4.01
2025,LAA,LAA,0.302,92,0.695,0.081,0.271,0.172,118,113,4.54,1.43,8.05,3.9,1.4,4.89,4.78
2025,LAD,LAD,0.331,113,0.768,0.094,0.21899999999999997,0.188,94,92,3.96,1.26,9.4,3.52,1.09,3.95,3.93
2025,MIA,MIA,0.309,96,0.708,0.078,0.203,0.143,108,105,4.29,1.3,8.07,3.16,1.24,4.6,4.34
2025,MIL,MIL,0.322,107,0.736,0.091,0.203,0.145,86,94,4.11,1.23,8.94,3.33,1.05,3.59,3.91
2025,MIN,MIN,0.309,97,0.708,0.08199999999999999,0.226,0.159,110,98,4.2,1.31,8.66,2.9,1.22,4.55,4.09
2025,NYM,NYM,0.326,112,0.753,0.091,0.214,0.178,99,95,4.02,1.32,8.72,3.49,0.94,4.04,3.88
2025,NYY,NYY,0.338,119,0.787,0.102,0.235,0.204,96,94,4.0,1.25,9.0,3.48,1.09,3.91,3.99
2025,PHI,PHI,0.329,109,0.759,0.086,0.217,0.173,89,88,3.7,1.23,9.19,2.72,1.11,3.79,3.7
2025,PIT,PIT,0.29,82,0.655,0.08800000000000001,0.237,0.119,88,93,4.14,1.22,8.27,2.98,0.96,3.76,3.83
2025,SDP,SDP,0.311,102,0.711,0.084,0.191,0.138,90,98,4.16,1.21,8.95,3.36,1.12,3.64,4.02
2025,SEA,SEA,0.321,113,0.74,0.08800000000000001,0.233,0.176,101,99,3.92,1.22,8.77,2.79,1.18,3.87,3.97
2025,SFG,SFG,0.305,97,0.697,0.092,0.22699999999999998,0.151,94,94,4.0,1.3,8.52,3.18,0.9,3.84,3.74
2025,STL,STL,0.304,96,0.693,0.079,0.218,0.134,104,100,4.11,1.32,7.6,2.9,1.07,4.3,4.06
2025,TBR,TBR,0.311,98,0.714,0.077,0.231,0.15,95,98,3.93,1.22,8.9,2.98,1.29,3.94,4.15
2025,TEX,TEX,0.299,92,0.684,0.08,0.21899999999999997,0.147,86,92,4.04,1.18,8.38,2.89,1.07,3.49,3.89
2025,TOR,TOR,0.33,112,0.761,0.084,0.17800000000000002,0.162,103,101,4.13,1.27,8.95,3.24,1.31,4.19,4.26
2025,WSN,WSN,0.302,93,0.693,0.07400000000000001,0.226,0.147,127,113,4.51,1.45,7.89,3.58,1.35,5.35,4.72
