team,player_id,starter_name,sv_pct,gaa,gp,goalie_score
WPG,8476945,Connor Hellebuyck,0.92487,2.00461,63,2.4198146158554095
TBL,8476883,Andrei Vasilevskiy,0.92132,2.18002,63,2.05587113241477
MTL,8478470,Samuel Montembeault,0.90166,2.81834,62,0.18713408167015086
NYR,8478048,Igor Shesterkin,0.90462,2.85866,61,0.36392169745221453
NYI,8478009,Ilya Sorokin,0.90737,2.70946,61,0.6670285736122075
DAL,8479979,Jake Oettinger,0.90875,2.58645,58,0.8471080198332469
NSH,8477424,Juuse Saros,0.89572,2.98408,58,-0.34746010322474424
MIN,8479406,Filip Gustavsson,0.91376,2.55872,58,1.2258847891290725
BOS,8480280,Jeremy Swayman,0.89215,3.1145,58,-0.6953541668122216
UTA,8478872,Karel Vejmelka,0.9039,2.58287,58,0.5153153312424987
SEA,8478916,Joey Daccord,0.90619,2.74941,57,0.5429466165862186
COL,8478406,Mackenzie Blackwood,0.9122,2.54991,56,1.0955916535477774
STL,8476412,Jordan Binnington,0.90048,2.68602,56,0.20666969664502596
BUF,8480045,Ukko-Pekka Luukkonen,0.88657,3.1965,55,-1.1110189277989424
FLA,8475683,Sergei Bobrovsky,0.90559,2.43751,54,0.7286961306758818
ANA,8480843,Lukas Dostal,0.90276,3.10042,54,0.03335558613431816
CGY,8481692,Dustin Wolf,0.90961,2.63954,53,0.8520130011976486
CBJ,8478007,Elvis Merzlikins,0.8921,3.17889,53,-0.7422798822936871
EDM,8479973,Stuart Skinner,0.89584,2.81398,51,-0.1906007517784613
VAN,8480947,Kevin Lankinen,0.90185,2.6227,51,0.3409694905044854
VGK,8478499,Adin Hill,0.90641,2.4692,50,0.7455163013436825
LAK,8475311,Darcy Kuemper,0.92186,2.01772,50,2.060173888937137
SJS,8480382,Alexandar Georgiev,0.87471,3.70536,49,-2.228294004269924
NJD,8474593,Jacob Markstrom,0.90032,2.50084,49,0.33886711879701564
DET,8475660,Cam Talbot,0.90115,2.92941,47,0.04951540028525932
CAR,8481611,Pyotr Kochetkov,0.89761,2.60149,47,0.09364315343832558
PHI,8481035,Samuel Ersson,0.88296,3.13631,47,-1.2168349077456733
OTT,8476999,Linus Ullmark,0.90968,2.72364,44,0.7347479267019229
WSH,8480313,Logan Thompson,0.9104,2.48506,43,0.9594430526889155
TOR,8479361,Joseph Woll,0.90871,2.7269,42,0.6706515771497161
PIT,8477968,Alex Nedeljkovic,0.89373,3.12434,38,-0.5496284822898617
CHI,8481519,Spencer Knight,0.90207,2.72374,38,0.25707253438458344
