team,player_id,player_name,season,attempts,completion_pct,yards_per_att,td_int_ratio,sack_rate,qb_score,qb_pct
CIN,00-0036442,Joe Burrow,2024,652,0.7055214713105499,7.54294477370714,4.777777777777778,0.06857142847346939,0.5401,87.0
PIT,00-0023459,Aaron Rodgers,2024,584,0.6301369852223682,6.672945194053176,2.5454545454545454,0.06410256399983563,-0.2022,30.4
KC,00-0033873,Patrick Mahomes,2024,581,0.6746987940194513,6.760757303337767,2.3636363636363638,0.058346839451625866,-0.0613,45.7
LV,00-0030565,Geno Smith,2024,578,0.7041522479166916,7.474048429975695,1.4,0.07961783426812447,0.0296,52.2
TB,00-0034855,Baker Mayfield,2024,570,0.7140350864666051,7.894736828254848,2.5625,0.0655737703843053,0.4129,82.6
DEN,00-0039732,Bo Nix,2024,567,0.6631393286364385,6.657848312772754,2.4166666666666665,0.04060913698712498,0.1772,67.4
CHI,00-0039918,Caleb Williams,2024,562,0.6245551590310406,6.300711732561012,3.3333333333333335,0.10793650776518014,-0.3919,21.7
SEA,00-0034869,Sam Darnold,2024,545,0.6623853198855315,7.924770627660972,2.9166666666666665,0.08094435062235354,0.3674,80.4
ARI,00-0035228,Kyler Murray,2024,541,0.6876155255312097,7.1182994323136795,1.9090909090909092,0.052539404461402095,0.1496,58.7
DET,00-0033106,Jared Goff,2024,539,0.7235621507911648,8.588126143621288,3.0833333333333335,0.05438596481686673,0.64,89.1
HOU,00-0039163,C.J. Stroud,2024,532,0.6315789461812426,7.005639084575867,1.6666666666666667,0.08904109573794333,-0.1837,32.6
LA,00-0026498,Matthew Stafford,2024,517,0.6576402308362859,7.276595730606198,2.5,0.051376146694722666,0.2441,71.7
LAC,00-0036355,Justin Herbert,2024,504,0.6587301574231544,7.678571413336168,7.666666666666667,0.07522935766012961,0.8947,97.8
BUF,00-0034857,Josh Allen,2024,483,0.6356107647295843,7.724637665166382,4.666666666666667,0.028169014027828947,0.82,95.7
WAS,00-0039910,Jayden Daniels,2024,480,0.6895833318967014,7.4333333178472225,2.7777777777777777,0.08918406055183291,0.1137,54.3
BAL,00-0034796,Lamar Jackson,2024,474,0.6666666652601969,8.801687745144118,10.25,0.046277665902861836,1.7009,100.0
SF,00-0037834,Brock Purdy,2024,455,0.659340657891559,8.49230767364328,1.6666666666666667,0.06378600809920575,0.5013,84.8
ATL,00-0029604,Kirk Cousins,2024,453,0.668874170708887,7.743929342728633,1.125,0.058212058091035225,0.1767,65.2
GB,00-0036264,Jordan Love,2024,425,0.6305882338103806,7.974117628296194,2.272727272727273,0.03189066051961125,0.645,91.3
MIA,00-0036212,Tua Tagovailoa,2024,399,0.7293233064427987,7.185463641139189,2.7142857142857144,0.049999999880952384,0.2552,73.9
CAR,00-0039150,Bryce Young,2024,384,0.609374998413086,6.2578124837036135,1.6666666666666667,0.07021791750552563,-0.2073,28.3
PHI,00-0036389,Jalen Hurts,2024,361,0.6869806075152892,8.041551224261632,3.6,0.09523809499940328,0.3409,76.1
IND,00-0035710,Daniel Jones,2024,341,0.6334310831864192,6.07038121386985,1.1428571428571428,0.07837837816654493,-0.5066,17.4
NE,00-0039851,Drake Maye,2024,338,0.6656804714033122,6.733727790728616,1.5,0.09139784921667245,-0.3062,23.9
NYG,00-0029263,Russell Wilson,2024,336,0.636904760009212,7.386904739919927,3.2,0.08943089406658294,0.0215,50.0
TEN,00-0039152,Will Levis,2024,301,0.6312292337832915,6.946843830741383,1.0833333333333333,0.11988304058513731,-0.4499,19.6
DAL,00-0033077,Dak Prescott,2024,286,0.6468531445914226,6.916083891901804,1.375,0.06840390857197425,-0.0649,43.5
JAX,00-0036971,Trevor Lawrence,2024,284,0.605633800684388,7.200704199997521,1.5714285714285714,0.059602648809262755,0.1586,60.9
NO,00-0031280,Derek Carr,2024,279,0.6774193524106833,7.6881720154545805,3.0,0.027874564362806397,0.7176,93.5
CLE,00-0033537,Deshaun Watson,2024,216,0.6342592563228738,5.314814790209191,1.6666666666666667,0.13253011994967823,-1.0688,6.5
NYJ,00-0036945,Justin Fields,2024,161,0.6583850890783535,6.869565174723197,5.0,0.09039547971527978,0.1622,63.0
